study_number,Weeks,FSSE (Planned),FSSE (Actual),Estimated PTA,Calculated PTA (Planned),Calculated PTA (Actual)
MO42116,39.11,,,2025-07-31,,
GO42273,104.28,,,,,
WA43380,130.36,2024-08-15,2024-08-14,2025-09-30,2027-02-14,2027-02-13
WA40404,256.37,2026-06-17,2024-05-16,2025-05-01,2031-05-17,2029-04-15
GO43712,130.44,,,2025-02-24,,
MR43808,156.53,2024-05-15,2023-12-18,2025-06-01,2027-05-16,2026-12-18
GO41717,260.71,2023-01-17,2023-10-14,,2028-01-16,2028-10-12
BO39610,260.71,2024-01-25,2024-01-25,,2029-01-23,2029-01-23
MO41084,547.86,,,,,
BO29554,108.63,2024-08-31,,2025-03-03,2026-09-30,
GO29781,52.0,2022-09-16,2023-01-13,2022-10-03,2023-09-15,2024-01-12
YO39609,78.27,2023-04-30,2022-11-01,2025-02-17,2024-10-29,2024-05-02
BN43703,52.18,2024-02-28,2024-03-13,2025-03-02,2025-02-27,2025-03-13
BO28984,104.28,2016-01-07,2016-01-07,2025-02-03,2018-01-06,2018-01-06
MO42623,26.07,2023-01-01,2023-12-08,2025-06-02,2023-07-02,2024-06-07
BO42161,147.74,2024-03-30,2024-03-30,2024-12-01,2027-01-28,2027-01-28
BP43963,52.0,2024-06-12,2023-08-23,2024-11-01,2025-06-11,2024-08-21
GN41791,260.89,2023-08-31,2023-04-21,2025-01-31,2028-08-30,2028-04-20
GP43365,52.0,,,2025-04-01,,
ML40237,391.33,,,2024-10-01,,
ML40896,260.89,,,,,
ML41241,143.39,,,2023-12-18,,
ML41813,52.18,,,2024-09-02,,
ML44030,52.18,2024-03-29,,2023-09-13,2025-03-29,
MO40094,108.0,,,2024-07-15,,
MO40388,52.18,,,,,
MO42319,156.53,2026-01-04,2023-05-05,2023-01-16,2029-01-04,2026-05-05
MO43576,52.18,2023-05-12,2023-07-13,2024-07-01,2024-05-11,2024-07-12
WP44131,40.0,2025-01-31,2025-01-03,2024-07-23,2025-11-07,2025-10-10
BN40703,260.89,2020-10-26,2022-01-28,2024-09-09,2025-10-26,2027-01-28
BN42082,391.33,,,,,
BN42083,313.08,2023-03-17,2023-03-22,,2029-03-17,2029-03-22
BP39054,260.89,2019-07-31,2020-01-15,2022-10-31,2024-07-30,2025-01-14
BP40087,104.28,2021-06-17,2021-06-22,2023-01-01,2023-06-17,2023-06-22
BP40657,143.39,2024-09-01,2022-05-09,2024-12-31,2027-06-02,2025-02-06
BP41628,121.66,2024-12-28,,2022-09-26,2027-04-29,
CA41705,313.08,2023-02-06,2023-02-06,2025-10-31,2029-02-06,2029-02-06
CN42097,104.36,2023-05-12,2022-11-15,2023-04-01,2025-05-12,2024-11-15
GO30103,52.18,2019-03-09,2022-12-12,2022-10-03,2020-03-08,2023-12-12
GO44096,104.36,2024-10-29,,,2026-10-30,
GR41986,72.0,2022-03-15,2021-08-31,2022-07-19,2023-08-01,2023-01-17
GR41987,108.0,,,2022-08-01,,
GR42691,108.0,2022-07-08,2024-09-24,2023-02-20,2024-08-02,2026-10-20
MA30143,192.0,2019-06-19,2019-06-19,2021-09-01,2023-02-22,2023-02-22
ML29869,52.18,,,2023-10-10,,
ML40600,78.27,,,2023-12-18,,
MN39159,216.0,2026-06-30,2023-03-06,2022-02-01,2030-08-20,2027-04-26
MO29872,182.5,2019-09-04,2019-10-01,2021-10-01,2023-03-05,2023-04-01
MO39874,156.43,2021-11-16,2022-08-25,2024-12-16,2024-11-15,2025-08-24
MX39795,78.21,2022-10-31,2022-10-31,2024-06-09,2024-04-30,2024-04-30
YO39309,48.0,2021-05-18,2021-05-18,2022-05-02,2022-04-19,2022-04-19
BO42592,104.29,2023-10-23,2023-08-29,,2025-10-22,2025-08-28
GO41767,312.86,2021-02-26,2021-03-11,2024-06-28,2027-02-25,2027-03-10
ML42224,104.29,,,2023-08-21,,
MN39158,104.29,2025-08-01,2023-10-27,2020-08-02,2027-08-01,2025-10-26
BO41423,208.71,2021-10-30,2021-08-25,2023-07-01,2025-10-30,2025-08-25
BO44157,130.36,2026-09-16,2024-09-24,2025-02-03,2029-03-17,2027-03-26
